Date and time: 2022-11-22 10:43:36.396964
Program settings and initial information: 
path_to_file_folder_fixed = C:/Users/dasha/plants/for_git/Morley/photos
paper_area = 3221mm2; paper_area_thresold = 5000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/10
contour_area_threshold = 1000 pixels 
template_filename = C:/Users/dasha/plants/for_git/Morley/photos/template/template2.jpg
leaves parameters[0, 47, 0, 255, 100, 255]
roots parameters[145, 255, 0, 255, 100, 255]
seeds parameters[0, 29, 77, 255, 160, 255]
blur parameters[9, 1, 112]

,1,hg
0,47.86699503989695,103.28947914772813
1,,
2,80.6295645574403,72.17274969795947
3,196.7108970746452,108.15651784513017
4,75.66063261150124,44.668410330714664
5,52.89424319479762,
6,129.6772876929329,63.72890626529843
7,100.20724832214766,57.11195218336116
8,1.2593568426205692,84.45415479861207
9,149.92343321675014,
10,36.77782543403979,85.6415806732237
11,185.55004377006128,64.12433298613131
12,86.64871120195158,35.20216538221543
13,158.5512612821106,20.249245992082674
14,60.96856219776455,53.178941391871795
15,283.97386082656305,47.790198103985276
16,97.7537435317841,35.30953146604312
17,125.78798415137058,
18,51.801503124200764,55.79010322197333
19,174.91039922507437,
20,32.3581875087299,64.69565662678419
21,356.6059443911792,
22,73.93012254039007,83.19316766047768
23,237.73208053691278,0.7413153730139155
24,,101.10480760353023
25,,0.9969449948056233
26,,
27,,
28,,72.39901601847548
29,,0.020027619457285015
30,72.18122677576001,176.18881464494805
31,,
32,,
33,,0.11962290153538166
34,,37.7314379321958
35,,
36,4.22969590644294,
37,,0.013461186848339109
38,,
39,,
40,,
41,,0.02082582168203188
42,,
43,,
44,0.14840198842979424,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
